step,loss,a,m,L2_error,step_time_seconds
1,63.15592182724712,1.0499998448600554,1.0499999996084624,1.3739014112457877,0.460324764251709
2,62.47209240726521,1.0878705784329414,1.1000207461776976,1.2824487119522985,0.06392788887023926
3,60.1808828339399,1.1276181366976061,1.1488991882901907,1.2174700207947693,0.062207698822021484
4,56.77830488476772,1.167756560459715,1.1961902063914942,1.0886911519051428,0.06091666221618652
5,51.479314261925765,1.208955044522039,1.2399408642479257,1.0048153875771426,0.06394052505493164
6,45.230035132106444,1.2514396036142972,1.2802149074604712,0.9786549857562372,0.06972265243530273
7,37.857560126065216,1.2954467755068553,1.3173049721663455,0.9185612262342034,0.06152200698852539
8,29.949984581181454,1.3411204267539574,1.3515343285434256,0.8909993572878716,0.0643160343170166
9,22.51802679563517,1.3883166424206226,1.3833185287106793,0.8589863451462166,0.31070566177368164
10,16.563128674038357,1.4363141945265983,1.4129977482296514,0.8348584039030365,0.06796622276306152
11,12.695724611159045,1.4835188199174794,1.4407678718393329,0.8284949494664137,0.07093119621276855
12,10.850604004092558,1.5280090826693398,1.4666938227147828,0.8555377912253248,0.062744140625
13,10.41029128866295,1.5682199458327724,1.4909868053562834,0.8105969920853364,0.06263613700866699
14,10.450609786715344,1.603926018253732,1.5136091862502916,0.7965340748416257,0.0639810562133789
15,10.687857486425772,1.6354606376699838,1.5347935600758287,0.7853350959808667,0.06756949424743652
16,10.860854066347363,1.6634360262027648,1.5548416253073776,0.7979791190562127,0.06800460815429688
17,10.908824936449207,1.6884592794499074,1.5741332418640654,0.7857307132825667,0.06158447265625
18,10.876783148422362,1.711245425025149,1.593067161852956,0.817271283116958,0.06189417839050293
19,10.762496199299603,1.7321100708542818,1.611805218293546,0.7925952926455802,0.06054234504699707
20,10.570677788463367,1.751268073651237,1.6302412266077142,0.7965444093023283,0.31533288955688477
21,10.461816014044793,1.7687806504395351,1.6483593676483652,0.7715277755428037,0.06357097625732422
22,10.366898406400617,1.78478644439512,1.6659957172140734,0.7864645800053687,0.06164240837097168
23,10.340325589458399,1.7992943707605626,1.6830849877978844,0.8178993812153329,0.06274580955505371
24,10.537637199318885,1.8126951424876825,1.7003457292286295,0.8092947350201316,0.06252455711364746
25,10.504233082841209,1.8248799242600982,1.7170231270456535,0.8034247613022502,0.06667661666870117
26,10.440232895772978,1.8360238297983469,1.7335023158678728,0.7836462289901541,0.06453061103820801
27,10.373487044191618,1.8462843004519969,1.7504324411493761,0.7721518407783617,0.064178466796875
28,10.36110909506785,1.8557595970738594,1.7664400618137455,0.7613597016597576,0.06194186210632324
29,10.305007667085706,1.8645122016325766,1.7814644515022613,0.7414597793345687,0.06257915496826172
30,10.275854698939622,1.8725126799819785,1.7956733087436016,0.7405553992485919,0.0638265609741211
31,10.261708485107663,1.8798435360177954,1.8091393672976812,0.7417327441481019,0.3255462646484375
32,10.236009093126166,1.8865185226873211,1.8219626435625789,0.736858702521953,0.06708550453186035
33,10.22744224042078,1.89265412935596,1.8342983569596465,0.7507491734326376,0.06321501731872559
34,10.251804374450414,1.8981857503504962,1.8463785240973598,0.7457216697291252,0.06529092788696289
35,10.246494263299125,1.9031088229900657,1.8582025951695662,0.7565931662701783,0.06744670867919922
36,10.233035741783013,1.9076405125714795,1.8697049031501927,0.7495828813695813,0.06221652030944824
37,10.205819513199131,1.911792594188835,1.8809113533887973,0.7558571171387197,0.06355500221252441
38,10.21649330959005,1.9155900256564395,1.8919669908836427,0.7500082896244272,0.05973625183105469
39,10.210772894317833,1.9192783838005376,1.9029631013456472,0.7379858873567389,0.06157851219177246
40,10.167390335796204,1.9228701947751141,1.9137752164853399,0.7213190544067191,0.0635526180267334
41,10.100832894850036,1.9264581187223957,1.9241638063621973,0.7240460028496495,0.06687545776367188
42,10.079788652892034,1.9297594680453916,1.9343256960421693,0.735671880374239,0.06093597412109375
43,10.065037527497187,1.9327935042824564,1.944563660722645,0.7285124355809383,0.05984187126159668
44,10.011204402037038,1.935514712288993,1.9550941357642306,0.7186929096028908,0.06495857238769531
45,9.940308563489118,1.9379283826460325,1.9661538790099669,0.6961130091261195,0.0630338191986084
46,9.812672467720082,1.9400496154649636,1.9780205724538154,0.7139066231833558,0.06397724151611328
47,9.733018243654017,1.9418914277905552,1.991411334261503,0.7098129739071722,0.11303257942199707
48,9.491662622297161,1.9433826818797242,2.007138083834584,0.7081117472714032,0.10968637466430664
49,9.127502226207934,1.944350009353518,2.0260709267343198,0.6548259245674529,0.10285186767578125
50,8.477047593386938,1.9444664979628878,2.0483431467081634,0.5605476311853356,0.09443879127502441
